619.3661277233355; 2268.3990313931968
649.210695943485; 2523.6456819754676
669.1413282891195; 2989.321557827985
671.4043736328902; 2722.056107398804
670.1144083850567; 3635.1027478886804
666.3074259552434; 3287.5260017817964
671.6999142329388; 4091.4979684979244
679.2677258410987; 2498.2564448425046
679.2110876738766; 2312.6130169988774
680.4700398554673; 2099.8361231399767
687.0878845040395; 1910.7300802559607
697.856471738891; 1746.1288246180693
699.6059938687911; 1585.472517294386
706.8674137831626; 1436.5133078505085
708.6362435397497; 1298.7605474474651
712.9890182983172; 1145.3628830913233
736.7623512145594; 1080.9175474882038
771.2443607825276; 996.3734076553292
793.5175645576186; 967.0471385330636
798.787006412449; 1059.3426409295455
817.6771093534612; 966.0106034702144
838.1119733171158; 886.5879763998875
877.8701666186663; 854.58101741111
902.7453608028353; 853.0113541195185
953.5659870899664; 851.6402639637447
976.3401222988175; 960.2265049843514
1007.4575874289768; 1031.3182105412038
1035.5299029787598; 1129.7477788422186
1076.8540365690371; 1139.4820855491566
1105.4406409985932; 1272.5645597510115
1147.559134433132; 1392.8233323432178
1183.2502325604614; 1546.8437687455694
1235.3317191287404; 1606.6971637964202
1274.7235754674582; 1750.8166110384075
1294.9584825652837; 1922.0335735773729
1315.6220105809027; 2275.70888583541
1310.3531452954721; 2072.986119484112
1326.193433647035; 2685.8093965308767
1315.7545747285333; 2498.2564448425046
1355.374635544802; 3380.4826766306064
1353.6776109883676; 3141.386453652364
1331.528305053369; 2953.2086114113868
1390.9360711240317; 5224.846070364458
1401.748166341146; 4846.976911443643
1406.0189894872258; 4469.512928072501
1410.9284712146962; 4107.828191237488
1401.4033999551161; 3859.6284733315365
1417.7693925984222; 3435.3024195558573
1451.991818733793; 4878.265747706531
1451.8707498940616; 4515.765742070205
1451.7496911491971; 4180.2028204064145
1451.6286424983573; 3869.57530966231
1451.265557101573; 3069.454156774432
1451.1445488184163; 2841.3654861942587
1451.0235506250785; 2630.225901343941
1453.7130963314878; 2388.2263565340377
1457.1972148450511; 3582.030279500255
1457.0757119730742; 3315.8524893462836
1462.157085174088; 2225.030356485315
1479.2952787378622; 2059.690139596531
1479.1719333025048; 1906.6362212929082
1484.8255286526746; 1742.3876341625623
1484.701722098369; 1612.9122099297704
1490.3868093006658; 1483.4816366175214
1474.7998271574183; 1376.1938905760305
1485.4715536023778; 1263.0471675948966
1478.3772871651768; 1159.2030443484632
1475.9377914286133; 1069.8462295486906
1560.190154742181; 2503.6206089260877
1556.6100042106336; 2232.2004565472184
1556.4910277688718; 2079.6662611101865
1562.4781470056676; 1943.7989890762024
1546.0978156551644; 1761.1740885672286
1563.1623022131353; 2915.446777933469
1550.8932155459515; 2769.1665947194906
1595.1071911891254; 1619.8460171554175
1592.866112444013; 1473.9666949501968
1592.7332973347316; 1364.4374149025887
1590.5066057940164; 1249.5742359983
1599.7321999669175; 2113.391258606109
1599.5988123549253; 1956.3468533240348
1599.4654358649573; 1810.9722915363784
1607.041005546918; 1149.300266487884
1604.775726030088; 1041.320558708511
1607.753052143311; 947.0338568610196
1617.1114566638332; 892.3111945073902
3992.8347125773034; 1032.4248210507983
4112.2780651085595; 956.3896926801046
4317.894941274639; 1055.5624965541408
4516.175655665276; 969.3834107539892
4471.898861114541; 906.7813974255647
4677.1422135012945; 1170.6967683178998
4632.84755820225; 1041.320558708511
4707.0814535499285; 1309.9511279863168
4744.569091277611; 1448.1141057453985
4819.9148776865595; 1599.133509639581
4973.706950309229; 1774.0644448905762
5132.132155281571; 1873.1948395025688
5254.495383861595; 2035.9719122844697
5388.390294807536; 2285.982272807054
5465.605444379034; 2613.355826645722
5662.12203909974; 2906.082007371926
5838.264515613934; 3248.274992026836
6005.587799986337; 3528.651293391048
6221.303380135596; 3799.6670378398985
6394.597726182847; 4126.751763072315
6572.703960592349; 4472.389799075083
6755.692678899275; 4795.274180101857
6971.063534374274; 5189.107832730374
7221.540974950154; 5647.294368249295
7480.950747787239; 6094.741651606037
7749.708569245884; 6600.960796545442
8028.110526030952; 7140.031124359645
8381.884323932596; 7761.318567091091
8682.773439464885; 8197.639115956099
8924.60100308222; 8874.713618052901
9209.099390179754; 9587.125182407017
9502.63399982024; 10323.458033800076
9805.524851955923; 11116.34444611204
10157.780331203528; 12024.165539034957
10481.623991992157; 13028.46045873252
10773.458518932937; 13991.540083253465
11073.405621862868; 15009.7062204883
11426.430058420754; 16249.415510212393
11883.29699002262; 17553.826223806806
12406.7729156006; 18821.12549098998
13004.11311433427; 20223.247059727863
13576.902814503224; 21595.0806603658
14119.654733159286; 23178.982998699754
14626.698696794541; 24767.24899966322
15092.942307069105; 26712.41756643633
15635.181969545536; 28959.04414195972
16071.24328754729; 32452.409507079334
16713.573769512506; 34572.1380930398
17518.22991350498; 37068.07514469208
18147.34365594661; 39659.05202952603
18580.072488402348; 43211.802780888574
19022.94362144703; 46680.60068723143
19476.37094799451; 50427.85397244533
20018.803929314236; 54563.61843434983
20656.819723956178; 58565.61519395197
21398.921421368454; 63409.57417835696
22254.429163336183; 68235.783850547
22963.69617834282; 73240.57264012039
23511.05454584895; 79119.90950374624
24165.89877084404; 85746.6347587764
24936.129217537247; 92183.93805466247
25730.908924600983; 99104.51248812498
26550.974217330542; 106373.38411394315
27612.603042971332; 115035.73647072857
28941.980649254467; 123340.74659618572
30335.254244041535; 131820.54914862575
31795.4162344572; 140129.93049755826
33325.86189617822; 148963.09830351835
34930.055181051335; 158693.07960608773
36610.87525501735; 166539.3133865997
38371.642478337744; 170881.3973321483
40217.65114155974; 177607.70889324788
